選手名,年齢,級班,府県,ホーム,期別,タイプ１,タイプ２,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応（横をする・横をされた時への対応力）,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
飯野 祐太,41,S級1班,福島,いわき平,90期,自在,,✕,◯,◯,◯,✕,◯,△,△,△,✕,✕,◯,✕,,,,
池野 健太,33,S級1班,兵庫,,109期,自在,,◯,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石川 裕二,41,S級1班,茨城,取手,99期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石塚 孝幸,45,S級1班,神奈川,川崎,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石塚 輪太郎,31,S級1班,和歌山,和歌山,105期,自在,,△,◯,◯,◯,◯,◯,△,△,△,✕,✕,◯,✕,,,,
石原 颯,25,S級1班,香川,高松,117期,先行,,◯,◯,◯,✕,✕,✕,◎,◯,△,✕,✕,◯,✕,,,,かましだけでは上位メンバーには勝てない。ラインの他選手にS取りをお願いし、突っ張りを含んだ先行をしていきたい。S取りは脚を使うからやりたくない。
磯田 旭,35,S級1班,栃木,宇都宮,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
市橋 司優人,33,S級1班,福岡,小倉,103期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
五日市 誠,41,S級1班,青森,,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
伊藤 旭,25,S級1班,熊本,熊本,117期,自在,,△,◯,◯,◯,◯,◯,◯,△,△,◯,◯,✕,✕,,,,初手位置取りには長けているが本当に逃げない。捲りメインなので自分が勝つレースをする。ごくごく稀に先行をする場合があるのでそこは要注意。単騎は絶対に買い。
伊藤 颯馬,26,S級1班,沖縄,,115期,先行,,◯,◯,◯,✕,◯,◯,◯,◯,△,◯,✕,◯,✕,,,,
犬伏 湧也,30,S級1班,徳島,小松島,119期,先行,捲,◯,✕,,✕,✕,✕,◎,◎,◯,✕,✕,◯,✕,,,,グレードの準決勝以上になると仕掛けが弱くなる。（メンバーにもよるが・・・）元駒澤大学野球部出身
井上 昌己,46,S級1班,長崎,佐世保,86期,追い込み,,✕,◯,◯,✕,✕,✕,△,△,△,✕,✕,◯,✕,,,,
岩谷 拓磨,28,S級1班,福岡,小倉,115期,捲,,△,◯,△,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
岩津 裕介,43,S級1班,岡山,玉野,87期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
岩本 俊介,41,S級1班,千葉,千葉,94期,自在,,△,◯,◯,✕,✕,◯,◯,◯,◯,◯,◯,◯,✕,,,,凌ぐ技がある。そこがメインになってきているのかな？
上田 国広,42,S級1班,三重,四日市,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
上田 尭弥,27,S級1班,熊本,熊本,113期,捲,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
上野 優太,28,S級1班,熊本,熊本,113期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大川 龍二,41,S級1班,広島,広島,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
太田 海也,26,S級1班,岡山,玉野,121期,先行,,◯,✕,,✕,✕,△,◎,◯,◯,◯,✕,✕,✕,,,,徹底先行型。この力はあるが先行意欲が強すぎて無理な仕掛けをするときがある。もう少しラインの意識が有るといい。ただ番手によっては千切れるので買う際は注意が必要。
太田 竜馬,29,S級1班,徳島,小松島,109期,自在,,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
大塚 玲,44,S級1班,神奈川,平塚,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
太田 竜馬,29,S級1班,徳島,小松島,109期,自在,,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
大塚 健一郎,47,S級1班,大分,別府,82期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大槻 寛徳,46,S級1班,宮城,,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大坪 功一,48,S級1班,福岡,小倉,81期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
岡崎 智哉,40,S級1班,大阪,,96期,自在,,△,◯,◯,◯,✕,◯,△,◯,△,✕,✕,◯,◯,,,,
岡本 総,38,S級1班,愛知,豊橋,105期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小川 真太郎,33,S級1班,徳島,小松島,107期,自在,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
小川 丈太,30,S級1班,徳島,小松島,111期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小川 勇介,40,S級1班,福岡,小倉,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小倉 竜二,49,S級1班,徳島,小松島,77期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,前橋,,,
小原 太樹,37,S級1班,神奈川,川崎,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
小原 佑太,29,S級1班,青森,,115期,先行,,◯,✕,,✕,✕,✕,◯,◯,△,✕,✕,◯,✕,,,,
恩田 淳平,35,S級1班,群馬,前橋,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
香川 雄介,51,S級1班,香川,高松,76期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
柿澤 大貴,36,S級1班,長野,,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
笠松 信幸,46,S級1班,愛知,,84期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
柏野 智典,47,S級1班,岡山,玉野,88期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
片岡 迪之,38,S級1班,岡山,玉野,93期,自在,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
兼本 将太,28,S級1班,熊本,熊本,117期,捲,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
神山 拓弥,38,S級1班,栃木,宇都宮,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
川口 公太朗,35,S級1班,岐阜,岐阜,98期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
川津 悠揮,37,S級1班,北海道,函館,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
河端 朋之,40,S級1班,岡山,玉野,95期,捲,先行,◯,◯,◯,✕,✕,✕,◎,◯,△,◯,✕,◯,✕,,,,先行力もあるが高確率で垂れる。逃げ切りはほぼない。
神田 紘輔,39,S級1班,大阪,奈良,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
菊池 岳仁,25,S級1班,長野,,117期,先行,捲,◯,✕,,✕,✕,△,◯,◯,△,◯,✕,◯,✕,,,,徹底先行。とにかく先行する。番手が他地区でも先行するが先行意欲が強すぎるのでグレードレースになると最後垂れる場合がある。初手位置取りができなければかましや捲りもある。信頼できるが単騎では弱い。G１レベルでは突っ張れない。
岸田 剛,26,S級1班,福井,福井,121期,先行,,◯,✕,,✕,✕,△,◯,◯,△,✕,✕,◯,✕,,,,先行はするがかましの多さが気になる。先輩などを付けても突っ張りは少なくかましに構えて不発している場面をよく見る。
北津留 翼,40,S級1班,福岡,小倉,90期,捲,先行,◯,◯,✕,✕,✕,✕,◎,◯,△,◯,◯,◯,✕,,,,地元地区選手以外でも、他地区の選手が番手に付き、その選手の地元であれば逃げる可能性が高まる。初日特選突っ張り先行しがち。
木村 隆弘,39,S級1班,徳島,小松島,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
木村 弘,33,S級1班,青森,,100期,先行,,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
木村 皆斗,24,S級1班,茨城,取手,119期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,逃げれば強い。少しづつS級にも慣れてきてグレードレースでも結果を残せるように。基本的には先行するので買いやすい。
久木原 洋,41,S級1班,埼玉,西武園,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
久米 康平,34,S級1班,徳島,小松島,100期,自在,,△,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
久米 良,37,S級1班,徳島,小松島,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
黒沢 征治,33,S級1班,埼玉,大宮,113期,自在,,✕,◯,◯,✕,◯,◯,△,△,△,✕,✕,◯,✕,,,,番手時先行しているならば先行選手と大きく車間を開け援護するがそのまま差せずに沈むときがある。
黒瀬 浩太郎,25,S級1班,広島,広島,123期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
桑原 大志,49,S級1班,山口,防府,80期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小岩 大介,41,S級1班,大分,別府,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
纐纈 洸翔,23,S級1班,愛知,名古屋,121期,自在,,✕,◯,◯,✕,◯,◯,△,△,△,✕,◯,✕,◯,,,,逃げません。やる気の有無がわかりません。着拾いのレースをします。自分だけが着に絡むレースをすることが多い。
小林 泰正,31,S級1班,群馬,前橋,113期,先行,捲,△,◯,◯,✕,◯,△,△,△,△,✕,✕,◯,✕,,,,
小松崎 大地,43,S級1班,福島,,99期,先行,捲,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,元独立野球出身選手
小森 貴大,35,S級1班,福井,福井,111期,自在,,△,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
近藤 保,43,S級1班,千葉,千葉,95期,追い込み,,✕,◯,◯,✕,✕,✕,△,△,△,✕,✕,◯,✕,,,,
後藤 大輝,24,S級1班,福岡,久留米,121期,先行,,◯,◯,◯,✕,✕,✕,◯,◯,◯,✕,✕,◯,✕,,,,逃げる。とにかく逃げる。そして強い。グレードでの経験値も増えてきて今後の飛躍が期待できそう。127 期の鶴とは高校の同級生
坂井 洋,30,S級1班,栃木,宇都宮,115期,先行,捲,△,◯,✕,◯,◯,◯,◯,△,△,◯,◯,✕,◯,,,冬得意,大学の先輩、佐藤慎太郎を付けると逃げる率は高い。大学は日本大学。現役S班日本大学出身は山崎賢人、阿部力也、新山響平、小嶋敬二、北野武史、窪木一茂、片桐善也。この7人が付くと逃げると思われる。後輩で行けば原大智、治田知也、近谷涼。中退者は山口拳矢、太田海也。後輩・中退者の番手に付けばその選手が逃げる可能性が浮上する。基本は逃げない。
坂口 晃輔,37,S級1班,三重,四日市,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,　
坂本 健太郎,45,S級1班,福岡,久留米,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
嵯峨 昇喜郎,26,S級1班,青森,,113期,自在,,◯,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
櫻井 正孝,38,S級1班,宮城,,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
櫻井 祐太郎,26,S級1班,宮城,,117期,先行,,△,✕,,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,先行意欲もあり逃げてはくれるが圧倒的なスピードがある訳ではないし番手が仕事をしないと残るもきつくなる。割と自分本意なレースをするときもある。
佐々木 豪,29,S級1班,愛媛,松山,109期,自在,,△,◯,◯,◯,◯,✕,△,◯,◯,◯,◯,◯,✕,奈良,,,
佐々木 眞也,31,S級1班,神奈川,川崎,117期,自在,,△,◯,◯,◯,◯,◯,△,△,△,◯,◯,◯,◯,,,,先行選手ではない。自力自在型の選手でありS級でもしっかりと戦えている。ただS級上位選手（郡司・松谷など）がついた際は逃げる可能性もあるので要注意。
佐々木 雄一,45,S級1班,福島,,83期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐々木 悠葵,30,S級1班,群馬,前橋,115期,先行,捲,△,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
佐々木 龍,34,S級1班,神奈川,川崎,109期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,◯,,,,
佐藤 礼文,34,S級1班,茨城,取手,115期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,◯,◯,✕,,,,
佐藤 一伸,38,S級1班,福島,いわき平,94期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 和也,45,S級1班,青森,青森,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
佐藤 慎太郎,48,S級1班,福島,いわき平,78期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,✕,,,,
佐藤 友和,42,S級1班,岩手,,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
皿屋 豊,42,S級1班,三重,松阪,111期,先行,捲,△,◯,◯,✕,✕,✕,◯,△,△,✕,✕,◯,✕,,,冬得意,元国家公務員出身
椎木尾 拓哉,40,S級1班,和歌山,和歌山,93期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
志田 龍星,27,S級1班,岐阜,大垣,119期,先行,,◯,◯,◯,✕,✕,△,◯,◯,◯,✕,✕,◯,✕,,,,かなり逃げるようになった。他地区（近畿）が番手に付いても逃げることが増え、逃げればしっかり結果を残すようになってきた。
志智 俊夫,53,S級1班,岐阜,岐阜,70期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,◯,◯,✕,,,,
柴崎 淳,39,S級1班,三重,四日市,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
島川 将貴,30,S級1班,徳島,小松島,109期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
嶋田 誠也,32,S級1班,福岡,小倉,109期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
嶋津 拓弥,39,S級1班,神奈川,平塚,103期,追い込み,,✕,◯,◯,✕,✕,✕,△,△,△,◯,✕,◯,✕,,,,
清水 裕友,30,S級1班,山口,防府,105期,自在,,△,◯,◯,✕,◯,◯,◯,◯,◯,◯,◯,◯,✕,防府,,夏苦手,
新山 響平,31,S級1班,青森,,107期,先行,,◯,◯,◯,✕,✕,✕,◎,◎,◯,◯,✕,◯,✕,函館,前橋,,
新山 将史,34,S級1班,青森,,98期,追い込み,,✕,◯,◯,✕,✕,✕,△,△,△,✕,✕,◯,✕,,,,
末木 浩二,33,S級1班,山梨,,109期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
菅田 壱道,39,S級1班,宮城,,91期,自在,,◯,◯,◯,✕,✕,◯,△,◯,◯,◯,◯,◯,✕,,,,佐藤慎太郎、新田が付くと逃げる。高確率で。ただ基本はかまし先行。S取りが早い。
杉浦 侑吾,30,S級1班,愛知,名古屋,115期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,杉浦侑吾に変更。所属も栃木に。(旧姓藤井）
杉森 輝大,43,S級1班,茨城,取手,103期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
鈴木 玄人,29,S級1班,東京,立川,117期,自在,,△,◯,◯,✕,◯,◯,◯,◯,△,◯,◯,◯,◯,,,,自力自在型の先行選手。飛び付き、横の並びなど何でもできるが粗さも目立つ。圧倒的なスピードが有るわけではないので力上位選手がいてると物足りなさを感じる。
鈴木 裕,40,S級1班,千葉,千葉,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
須永 優太,37,S級1班,福島,いわき平,94期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
隅田 洋介,38,S級1班,岡山,玉野,107期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
瀬戸 栄作,32,S級1班,長崎,佐世保,109期,自在,,△,◯,◯,◯,✕,△,△,△,△,◯,✕,◯,✕,,,,
園田 匠,44,S級1班,福岡,小倉,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,◯,,,,縦脚抜群。どこからでも飛んでくる。奥様は市議会議員
田尾 駿介,33,S級1班,高知,高知,111期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
高久保 雄介,38,S級1班,京都,向日町,100期,自在,,△,◯,✕,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
高橋 築,33,S級1班,東京,京王閣,109期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
高橋 晋也,30,S級1班,福島,いわき平,115期,先行,,◯,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
竹内 智彦,48,S級1班,宮城,,84期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,✕,,,,
田中 勇二,37,S級1班,岡山,玉野,95期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
谷 和也,26,S級1班,大阪,,115期,先行,,◯,✕,,✕,✕,△,◯,◯,△,◯,✕,◯,✕,,,,G1になると仕掛けが早く先行意欲も更に良くなる。
谷口 遼平,31,S級1班,三重,四日市,103期,自在,,△,◯,✕,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,
塚本 大樹,36,S級1班,熊本,熊本,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
堤 洋,49,S級1班,徳島,小松島,75期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
東矢 圭吾,26,S級1班,熊本,熊本,121期,先行,,◯,◯,✕,✕,✕,△,◯,◯,△,✕,✕,◯,✕,,,,捲る機会も増えてきたが基本的には先行してくれる。逃げれば強い。
徳永 哲人,43,S級1班,熊本,熊本,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
取鳥 雄吾,30,S級1班,岡山,玉野,107期,先行,捲,◯,◯,✕,✕,◯,✕,◯,◯,△,◯,✕,◯,✕,,,,
内藤 宣彦,54,S級1班,秋田,,67期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
内藤 秀久,43,S級1班,神奈川,川崎,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
中井 俊亮,32,S級1班,奈良,奈良,103期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
中井 太祐,35,S級1班,奈良,奈良,97期,追い込み,,△,◯,◯,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,
中釜 章成,28,S級1班,大阪,岸和田,113期,先行,捲,◯,✕,,◯,◯,◯,◯,◯,△,◯,✕,◯,✕,,,,
中川 誠一郎,46,S級1班,熊本,熊本,85期,追い込み,捲,✕,◯,✕,✕,✕,✕,◯,△,△,✕,◯,◯,✕,,,,追い込み型に転向。自力はもうきついと本人コメントあり。
中野 慎詞,26,S級1班,岩手,,121期,先行,,◯,✕,,✕,✕,✕,◎,◯,◯,◯,✕,◯,✕,,,,徹底先行型。この力はあるが先行意欲が強すぎて無理な仕掛けをするときがある。もう少しラインの意識が有るといい。ただ番手によっては千切れるので買う際は注意が必要。スタミナの無さは気になる。垂れる率も高く頭固定では買いにくくなってきている。
中村 圭志,44,S級1班,熊本,熊本,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
中村 浩士,47,S級1班,千葉,千葉,79期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,千葉支部支部長
中本 匠栄,38,S級1班,熊本,熊本,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
長尾 拳太,32,S級1班,岐阜,大垣,103期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
永澤 剛,40,S級1班,青森,,91期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,
長島 大介,36,S級1班,栃木,宇都宮,96期,先行,捲,△,◯,◯,✕,✕,✕,◯,△,△,✕,✕,◯,✕,,,,自力では買いにくい。
成田 和也,46,S級1班,福島,,88期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,◯,✕,◯,◯,,,,
西田 優大,28,S級1班,広島,広島,123期,自在,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,123期トップでの記念制覇し求められる物が増えてきたと思うが戦法に一貫性はないので買う際は買い方に悩む選手ではある。
西村 光太,39,S級1班,三重,松阪,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
新田 康仁,51,S級1班,静岡,静岡,74期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
新田 祐大,39,S級1班,福島,いわき平,90期,自在,,◯,◯,◯,◯,✕,◯,◯,◯,◯,◯,◯,◯,◯,,,,
根田 空史,37,S級1班,千葉,千葉,94期,先行,捲,◯,◯,✕,✕,✕,✕,◯,◯,△,✕,✕,◯,✕,,,,
野口 裕史,42,S級1班,千葉,千葉,111期,先行,捲,◯,◯,✕,✕,✕,△,◯,◯,△,✕,✕,◯,✕,,,冬得意,元ハンマー投げ選手。
橋本 強,40,S級1班,愛媛,松山,89期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
橋本 瑠偉,30,S級1班,栃木,宇都宮,113期,先行,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
林 慶次郎,28,S級1班,福岡,小倉,111期,先行,,◯,◯,✕,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,
林 大悟,30,S級1班,福岡,小倉,109期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
原田 研太朗,35,S級1班,徳島,小松島,98期,捲,,◯,◯,✕,✕,✕,△,◯,◯,◯,✕,◯,◯,✕,小倉,,,単騎戦が得意。
東口 善朋,46,S級1班,和歌山,和歌山,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,裏切り癖がある。
久田 裕也,25,S級1班,徳島,小松島,117期,先行,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,基本は先行型だが捲りも多く読めない。調子の波もあり買いにくい。
深谷 知広,35,S級1班,静岡,静岡,96期,先行,捲,◯,◯,◯,✕,✕,△,◎,◯,◯,◯,✕,◯,✕,,奈良,,
福田 知也,43,S級1班,神奈川,川崎,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
福永 大智,27,S級1班,大阪,岸和田,113期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,◯,✕,◯,✕,,,,スタートの速さは輪界随一。
伏見 俊昭,49,S級1班,福島,松阪,75期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
